اسم المدير,رقم الجوال
محل اسيد للالبسة الجاهزة,970599226415
محل اسيد للمواد الغذائية,970598228889
محل اسيل للادوات المنزليه,970597646701
محل اشرف للادوات المستعملة,970506517682
محل اقرأ للاجهزة الكهربائية والستلايت,970599297516
محل اكتابا لبيع الادوات المستعملة ,970569617773
محل اكرم لمواد البناء,970598123960
محل اكرم لمواد البناء,970599638739
محل الاخوه للادوات المنزليه,970598154261
محل الاشرف للدهانات,970598056229
محل الاقصى للمواد التموينيه,970568099077
محل الامانة للادوات المستعملة,970598011823
محل الامانه لبيع قطع السيارات,970598649767
محل الامانه للادوات المستعملة,970599972540
محل الامانه للمنظفات,970599816729
محل الانصار للدهان والتجليس,970595915051
محل الانوار للمواد الغذائية,970599120179
محل البدر للادوات الصحية,970599675669
محل البدوي للاجهزه الكهربائيه المستعمله,970524026272
محل البلعاوي للادوات المنزلية,970569014016
محل البلعاوي للخضار والفواكه,970599275398
محل التومة للادوات المستعملة,970599812577
محل التومي للادوات المستعمله,970598070372
محل الجزائر للادوات المستعملة,970597295703
محل الجزماوي للادوات الصحية,970598315499
محل الجيوسي للادوات المستعملة,970598417558
محل الحارون لبيع الادوات المستعملة,970598254313
محل الحارون لبيع وصيانة الاجهزة الكهربائية المستعملة,970598521621
محل الحارون للخضار,970569637951
محل الحافي للمواد الغذائية,970598123016
محل الخضر للالبسه الجاهزه,970568066060
محل الخطيب للادوات الكهربائية,970597176488
محل الدعمه للادوات المنزليه والنثريات,970599306818
محل الزامل للخضار والفواكه,970599153118
محل الزايط لصيانة الحاسوب,970597409619
محل الساعد للاعلاف والحبوب,970522308669
محل السلام للمواد التموينية,970599816786
محل السلمان للالبسة والاحذية,970597957501
محل الشرقيه لاكسسوارات الجوالات,970569963618
محل الشعب للمواد التموينية,970599646286
محل الشعراويه للزجاج,970599139561
محل الصباح للادوات الكهربائية المستعملة,970599139692
محل الضميري للخضار والفواكه,970598114070
محل الطحل للملابس,970569118208
محل الطقز للأدوات الكهربائية المستعملة,970522802206
محل العامر للادوات الكهربائية,970569965054
محل العامر للملابس,970598547833
محل العامر للمواد الغذائية,970599101410
محل العز للادوات الصحيه,970599069130
محل العزبه لقطع الغسالات,970599963557
محل العزبي للادوات المستعملة,970598309210
محل العكاشة للادوات الصحية,970598140089
محل العوده للادوات الكهربائية المستعملة,970595489126
محل الغول للاجهزة الخلويه,970598622242
محل الفداء لمواد البناء,970594560039
محل القشوع للادوات الصحية,970599074491
محل القوزح للملابس,970595587775
محل الكارم للادوات الكهربائية,970569996453
محل الكرمل للادوات المنزليه,970599666753
محل المجدوب للقرميد والخشب,970597219764
محل المصري لتأجير الخشب والدعم,970599597535
محل المغربي للمواد التموينيه,970597345308
محل المهر لبيع وصيانة الالكترونيات,970599963521
محل المهر للادوات المستعملة,970526597464
محل النبريصي للادوات المستعملة,970599601501
محل النصر للادوات المنزلية,970595079080
محل النوباني للألبسة,970598496573
محل النور للمواد الغذائية,970595416066
محل النورس للدهانات والديكور,970569961414
محل الهيثم للالمنيوم,970569666020
محل الوردة للاجهزة المستعملة,970568706293
محل الوفاء للادوات المستعملة,970597611447
محل الياسين للادوات الكهربائية المستعملة,970599427631
محل اليزن للاطعمه والفواكه,970568085188
محل امجد للحديد والادوات المستعمله,970599816739
محل امجد للمواد التموينيه,970568151970
محل انس غانم لبيع الخضار والفواكه,970599475911
محل اون لاين,970568789097
محل اياد حمدان للوازم الحدادين,970569828298
محل اياد لبيع الادوات الكهربائيه المستعمله,970599613055
محل اياد للاخشاب,970569566857
محل ايمن للتمديدات الكهربائية والصحية,970598241770
محل ايمن للخضار والفواكه,970597297248
محل ايمن للملابس الجاهزة,970569206709
محل ايهاب نجار للادوات المستعملة,970597471171
محل باب الحاره للاجهزه والادوات المستعمله,970522608555
محل باسم للاجهزة الكهربائية,970595646711
محل باسم للخضار,970598178771
محل باسم مجادبه للتحف والهدايا,970598559034
محل باسمه للملابس والاحذيه,970599279676
محل بدر للخضار والفواكه,970598770456
محل براء لبيع الخضار والفواكه,970592460410
محل برية للاثاث المستعمل,970597523082
محل بسام عبد النبي للاعلاف,970568067816
محل بسام للادوات المستعمله,970522623063
محل بكر للمواد الغذائية,970595517764
محل بلال للالبسه الجاهزه,970568226509
محل بلال للحديد المستعمل,970598845685
محل بلال للمرايا والبراويز,970595223362
محل بهاء للهدايا والالعاب,970569356080
محل بيقاوي للمواد الغذائية,970598986705
محل تامر ابو عماش لبيع الدواجن,970569055588
محل تمام دغمش للملابس المستعملة,970598145039
محل توفيق للادوات المنزلية,970597598967
محل توفيق للخضار والفواكه,970569533234
محل تيسير لبيع الملابس,970599638725
محل ثائر حمدان للخضار والفواكه,970599331578
محل ثائر رجب للمواد الغذائية,970598537267
محل جبر لقطع غيار السيارات المستعملة,970568604256
محل جمال للاثاث المستعمل,970598164509
محل جميل عامر للكهرباء والدهانات,970599934052
محل جهاد عبدالله للساعات,970598524042
محل جهاد كتانه للادوات المنزلية,970599075196
محل جهاد لتصليح وبيع الاجهزه الكهربائيه المستعمله,970522958888
محل جهاد للملابس الجاهزة,970522744781
محل حابس يحيى للتموين والاجهزة الخلوية,970594555582
محل حاتم للدهانات,970599827461
محل حاتم للملابس الجاهزه,970597553532
محل حامد ابو معمر للادوات المستعملة,970568373922
محل حكم للخضار والفواكه,970599116796
محل حمزة للادوات الصحية,970599281316
محل حمود للنثريات,970599074522
محل حمودة لتجارة التمور,970599787015
محل حموده للمواد التموينية,970597097490
محل خالد عبد الباقي لبيع الاعلاف,970599226138
محل خالد للادوات الكهربائية,970599106070
محل خالد للكمبيوتر,970599320275
محل خريوش للخضار,970569027903
محل خضر عواد للادوات المستعملة,970597716519
محل خليفه للمواد التموينيه,970599220345
محل دعباس للادوات المستعملة,970599476451
محل ديراويه لتجارة الزيت والزيتون,970599974453
محل ذيب مهداوي لمواد البناء,970595445711
محل رأفت للادوات المستعملة,970599652607
محل رائد البلبيسي للدعم والاخشاب,970592632460
محل رائد للاجهزه الكهربائيه المستعمله,970522679839
محل راجح لبيع اللحوم والدواجن,970599550657
محل رامي لمواد البناء,970597453486
محل رجب للمواد الغذائية,970598593109
محل رسلان حسين للتمديدات الكهربائية,970522434978
محل رشيد كنعان للادوات المنزلية,970598513315
محل رفعت للادوات المستعملة,970522451673
محل رمزي للادوات المستعملة,970598160132
محل رياض الخصيب للأدوات المستعملة,970599294754
محل ريم للمواد التموينية,970597414393
محل ريماس للادوات المنزلية,970599784418
محل زازا لبيع المواد الغذائية,970599550931
محل زاهر لبيع الأعلاف,970507692276
محل زلط للادوات المستعمله,970522904784
محل زهير عوفي للالمنيوم,970599931535
محل زهير للادوات المستعملة,970598345540
محل زياد البلحاوي للمستعمل,970598211471
محل زياد شهاب للمستعمل,970598523361
محل زياد غانم للمواد التموينية,970599430201
محل زيد رجب لبيع الادوات المستعملة,970599228973
محل سامح حمدان للاعلاف,970599185080
محل سامر ابو عويضة للملابس,970599550694
محل سامر لألعاب الاطفال,970599041519
محل سامر لافي للمستعمل,970598596312
محل سامر للادوات الكهربائية المستعملة,970568790932
محل سامر للحوم والمجمدات,970599654106
محل سلام للمواد التموينية,970568475422
محل سلامه للادوات المستعمله,970598622030
محل سمير زيد للمواد الغذائيه,970599119103
محل سمير لبيع اجهزة الكمبيوتر,970599359683
محل سمير للمواد الغذائية,970522773651
محل شادي حرب للمواد الغذائية,970597500151
محل شادي فوزي متوفي للادوات المستعملة,970598132006
محل شادي لكهرباء السيارات,970528031461
محل شادي للخضار,970595250116
محل شلبي لكهرباء السيارات,970599050543
محل صادق للمواد الغذائية,970528449520
محل صالح للابواب الخشبية,970592820758
محل صباح للادوات المستعمله,970595271868
محل طارق للوازم النجارين,970599794114
محل طعمه للادوات المستعملة,970599996472
محل طقاطقة للأدوات الصحية والدهانات,970599971339
محل طقز للمواد الغذائية,970598240659
محل طلال للالبسة الجاهزة,970598309095
محل طيبة للستائر والمفروشات,970598321110
محل عاصي للاتصالات,970569435894
محل عامر للخضار والفواكه,970599969478
محل عايد خلايفة لقطع غيار السيارات,970568198159
محل عبد الجبار للمستعمل,970598434543
محل عبد الحكيم للاعلاف,970599138729
محل عبد الرحمن ابو جزر للاحذيه,970597733045
محل عبد السلام ابو سبيت,970598178180
محل عبد السلام للاحذية والملابس,970568056193
محل عبد الكريم جماعين للأدوات المستعملة,970599548731
محل عبد الله للادوات المستعمله,970569073286
محل عبد الله للادوات المنزلية,970599794625
محل عبد المجيد عطار لقطع غيار السيارات المستعملة,970599781281
محل عبدالجبار للاعلاف,970599837165
محل عبدالقادر للادوات الصحية ومواد البناء,970569944095
محل عثمان للمواد لغذائية,970592960385
محل عدنان لمواد البناء,970592102098
محل عسراوي للخضار والفواكه,970503679462
محل عصام شاهين للادوات المستعمله,970522641383
محل عصام علي للادوات المستعمله,970598712516
محل عطار للدواجن,970598256632
محل علاء ابو سبيت للادوات الكهربائية المستعملة,970598156643
محل علاء عمار للاعلاف,970507466954
محل علام للمواد الغذائية,970569613708
محل علوشه للمواد الغذائية,970549925960
محل علوشي للمواد التموينيه,970522422944
محل علي عوفي للادوات المستعملة,970568113061
محل عماد حته لقطع غيار السيارات,970599826680
محل عماد لقطع السيارات,970599648701
محل عماد للمستعمل,970599967342
محل عماد همشري للخضار والفواكه,9705928237555
محل عمار الاشقر للخضار,970598321055
محل عمار القرعان للادوات المستعمله,970598123818
محل عمر كتانه لمواد التنظيف,970568193861
محل عمر للدي جي والحفلات,970599235643
محل غازي لأفران الحلويات,970599673360
محل غزل للاتصالات,970599281022
محل غنى للالبسة,970599117163
محل غيث للمستعمل,970599646355
محل فائد مشرف للمواد الغذائيه,970598511434
محل فادي ابو شنب للألمنيوم,970599335727
محل فادي جربان للالعاب,970599816624
محل فادي لتصليح الاجهزة الكهربائية,970599933930
محل فادي ناقوري للادوات المنزلية البلاستيكية,970599971611
محل فتحي مشرف للادوات المستعملة,970597611639
محل فراس قشوع للأعلاف,970598305139
محل فيصل ثلثين,970568117901
محل فيصل سلامة للاثاث المستعمل,970599659203
محل قصي للأثاث المستعمل,970595697266
محل كامل لبيع البلفونات,970568239658
محل كتانه للمواد الغذائية,970525539546
محل كهرباء عمر ,970599389951
محل مؤمن للادوات الصحية,970569480576
محل ماهر للمواد التموينيه,970599116927
محل ماهر لملابس الاطفال,970599610710
محل محفوظ للأجهزة الخلوية,970522558283
محل محفوظ للمواد التموينيه,970599120395
محل محمد ابو بكر للخضار,970568441431
محل محمد ابو لبده للاتصالات,970599113175
محل محمد جابر لمصابيح السيارات,970598434721
محل محمد حسين هرشه لمواد التنظيف,970599778902
محل محمد صابر للمواد التموينيه,970599420415
محل محمد عثمان للمواد الغذائية,970598241116
محل محمد علاريه للادوات المستعملة,970598529080
محل محمد كتانة للالبسة والاحذية,970599966796
محل محمد للادوات المستعملة,970569999465
محل محمد للخضار,970562562203
محل محمد للخضار والفواكه,9705987086683
محل محمد هرشه للادوات الصحية,970598513284
محل محمد ياسين للاخشاب,970592434664
محل محمود الحافظ للادوات المستعمله,970598437032
محل محمود جابر للالكترونيات وصيانتها,970568090505
محل محمود عساروي لبيع الاطارات المستعمله,970595352500
محل محمود للمواد التموينية,970599122923
محل محمود مجادبه للمواد الغذائية,970598091218
محل مراد زبيده للملابس,970568193500
محل مراد للادوات المستعمله,970598253561
محل مراد نصار للادوات المنزلية,970597323649
محل مروان للادوات المستعملة,970598402832
محل مسعود لبيع المنظفات,970598166147
محل مشعل للاحذية والملابس,970598207427
محل مصطفى للاجهزة الخلوية,970599336937
محل مصطفى للحلويات الشرقية,970595949988
محل مصلح يونس لبيع الادوات المستعملة,970522364910
محل معاذ للأدوات الصحية,970595641894
محل معاويه لمواد البناء,970569366244
محل مهدي للادوات المستعملة,970592862352
محل مهند شديد للاعلاف,970599389997
محل مهند ياسين لبيع الدواجن والاطعمه,970599550725
محل نبيل للخضار والفواكه,970598355774
محل نجيب كسبه للاثاث المستعمل,970525570515
محل نزار خصيب للادوات المنزليه,970599333747
محل نسيم ابو راضي,970599736470
محل نسيم للادوات المنزلية,970568502470
محل نصر للادوات المستعملة,970598503623
محل نصرالله لبيع الدواجن والمجمدات,970568550657
محل نضال عمير للمواد الغذائية,970599435953
محل نضال للادوات المستعملة,970568734310
محل نضال للالبسة الجاهزة,970598157735
محل نضال للخضار والفواكه,970599971118
محل نضال للمواد الغذائيه,970599426485
محل نعمان للحطب,970598240694
محل نعيم طقاطقه,970598035305
محل نهاد لبناشر السيارات,970599812578
محل هاني طرابين للأدوات المستعملة,970569505535
محل هاني للادوات المنزلية,970569821765
محل وائل للادوات المستعملة,970598749837
محل وائل للالمنيوم,970595793656
محل وائل للمواد الغذائية,970524621782
محل واحة المدخن,970598604966
محل وليد للادوات الكهربائيه المستعمله,970597529086
محل ياسر للادوات المستعملة,970569840679
محل ياسين للالمنيوم,970599427973
محل يسلم للادوات الصحية والكهربائية,970598558507
محل يوسف ابو مريم للمستعمل,970599844389
محل يوسف حجة للخضار والفواكه,970599225891
محل يونس للمواد الغذائيه,970522863843
محلات ابو رحيم للمستعمل,970599119048
محلات ابو عيشة لكماليات السيارات,970599626284
محلات ابوليث للادوات المستعمله,970599456516
محلات الاحلام,970595574001
محلات الايهم للمواد الغذائية,970599281686
محلات الجلاد للتجارة والتسويق,970599207708
محلات الخصيب للمواد الغذائيه,970597600415
محلات الدنيا للاثاث المستعمل,970597584418
محلات الرحمة لمواد البناء,970594774406
محلات الريحان للتجارة العامة,970598986608
محلات العامر,970598032607
محلات الفرعوني لتنجيد وصبغ الاثاث,970598355240
محلات النور للاثاث المستعمل,970599338700
محلات ايمن نصوح للاعلاف,970599106158
محلات بدر خندقجي للادوات الصحية,970598126155
محلات بيت ليد للمواد الغذائية,970599816654
محلات جيتون علي فحماوي,970599297512
محلات حسام عبد الله للمواد الغذائية والتموينية,970599813222
محلات طقاطقة للمستعمل,970598178376
محلات عودة للادوات المنزلية 2,970569966913
محلات ماهر للشالات,970599720782
محلات منذر شرقية للملابس,970598579003
محلات نصر للادوات الصحية,970599477018
محمد حامد للمستعمل,970569510033
محمد غانم للادوات المنزلية المستعملة,970598203979
محمد للادوات الصحية والدهان,970597463165
محمص ابراهيم الزايط,970599040783
محمص العزبة,970599931788
محمص سائد البرقاوي,970599379996
محمود للادوات المستعملة,970569259669
محميات احمد لانتاج الخضار,970594604858
محميات الخاروف للخضار,970599151906
محميات السامرائي لانتاج الخضار,970592782299
محميات انس للخضار,970568145542
محميات عبد الله لانتاج الخضار,970569332442
محميات عدي للزراعة,970568621485
محميات مأمون لزراعة الخضار,970598207477
محميات محمود زبن لانتاج الخضار,970569027923
محميات نضال للخضار المحمي,970599116526
محميات هبة للخضار,970599643623
مخبز الزيتون,970597852112
مخبز الطابون العربي,970598909067
مخبز طابون الشام,970592121227
مخبز وطابون المثلث,970598771227
مخزن مؤيد علاريه لتأجير الخشب والدعم,970598156730
مخيطة الخشان,970598208169
مخيطة باقة للملابس,970597448721
مخيطة خالد لتصليح الملابس,970599550468
مخيطة خليل ابو طاحون,970598559181
مخيطة ضرار خليليه,970597818146
مخيطة عنبتا,970595730180
مدحت لدهانات الموبيليا والخشب,970568396020
مرطبات و مثلجات يوسف ,970594778846
مركز بلعا البيطري,970599132812
مركز ثابت لصيانة السيارات الالمانية,970569220300
مركز زبلح للسلامه العامة والاطفاء,970599816718
مركز لوجيكا للاستشارات,970597413144
مركز ليمار للتجميل,970598531366
مركز محمد للكمبيوتر,970599679043
مزارع حنون للخضار,970599264437
مزارع سائد ابو شعيره,970598593319
مزارع عدنان ابو الجزر للخضار المحمي,970569171737
مزارع عماد كتانه للدفيئات,970599074659
مزارع ناصر للخضار والزعتر,970598839574
مزارع هاني كتانه,970598527525
مزراعة أغنام طحليش,970599030393
مزراعة ايمن للدفيئات,970599955519
مزرعة  محمود ابو الرب للأغنام,970598255223
مزرعة أحمد كتانه للأغنام,970599244955
مزرعة ابراهيم للدفيئات,970569434230
مزرعة احمد شريم للأغنام,970598752557
مزرعة احمد ضميري للخضار,970569482004
مزرعة احمد كتانه لانتاج الخضار,970599230256
مزرعة احمد للخضار المحمي,970598438673
مزرعة احمد للدفيئات والخضار,970595770906
مزرعة اسامة كتانة للخضار المحمي,970598342279
مزرعة اسلام لأنتاج الخضار,970597468797
مزرعة اسماعيل كتاني,970568637370
مزرعة اغنام اسامه,970569985698
مزرعة اغنام محمد جبارة,970568132564
مزرعة اغنام منصور,970568262664
مزرعة الجبعيتي للاغنام,970599801384
مزرعة الحمدان للاغنام,970599543802
مزرعة الرائد للاغنام,970595357073
مزرعة امير علوشي لانتاج الخضار,970594012311
مزرعة انس لتربية الاغنام,970562101123
مزرعة اياد العيسوي,970598207474
مزرعة اياد الفيات للخضار المحمي,970599335773
مزرعة اياد للدواجن,970597494304
مزرعة باسل للخضار المحمي,970599510619
مزرعة بكر للخضار,970598632384
مزرعة بلال ناصر,970598579470
مزرعة بهاء للخضار المحمي,970596372955
مزرعة تيسير للخضار المحمي,970569483951
مزرعة ثابت للخضار المحمي,970598766866
مزرعة جمال البدا,970569255639
مزرعة جميل لانتاج الخضار,970599240786
مزرعة جميل لانتاج الخضار,970597480598
مزرعة جميل للمحميات,970539595617
مزرعة جهاد للاغنام,970595405718
مزرعة حازم للخضار,970568585062
مزرعة حسن لتربية الحبش,970569610612
مزرعة حسين للاغنام,970599974513
مزرعة خالد للخضار المحمي,970599963608
مزرعة رأفت لتربية الدواجن,970568333979
مزرعة رائد حمدان,970598078655
مزرعة رائد كتانه,970597880125
مزرعة رائد كتانه للاغنام,970568099470
مزرعة راجح للخضار المحمي,970599423651
مزرعة رامي للخضار,970592448558
مزرعة رامي للخضار المحمي وتغليف الخضار,970599972676
مزرعة راني للاغنام,970599966814
مزرعة رضوان للخضار,970568580280
مزرعة سامر ثلثين للخضار,970598550615
مزرعة سامر للخضار المحمي,970598315934
مزرعة صابر يونس لتربية الابقار,970568796981
مزرعة صالح للدواجن,970598669885
مزرعة طارق ابو الرب ,970599426457
مزرعة عاصم لتسمين الخراف,970569178164
مزرعة عايد للدفيئات,9705983531393
مزرعة عبد الحكيم للاغنام,970599069490
مزرعة عبد الخالق لانتاج الخضار,970599536550
مزرعة عبد الرحمن عمار للاغنام,970599389971
مزرعة عبد الرحمن للنحل وانتاج العسل,970599293804
مزرعة عبد الكريم للخضار المحمي,970566155125
مزرعة عبد اللطيف للخضار المحمي,970599120022
مزرعة عقاد للأغنام,970592428977
مزرعة علاء درويش,970599255851
مزرعة علاء عسراوي للاغنام,970569587232
مزرعة عماد جيوسي للخضار,970599663387
مزرعة عماد لتربية الاغنام,970598545596
مزرعة عمار عساروه للخضار,970599723059
مزرعة غسان حسين للخضار,970597399025
مزرعة فادي للمحميات الخضار,970598300605
مزرعة فهمي لانتاج الحضار,970505135991
مزرعة كتانه للاغنام ,970598179464
مزرعة لقمان للأغنام,970569267772
مزرعة ماهر تقيوه للخضار,970598846959
مزرعة ماهر لتربية الاغنام,970599293452
مزرعة مجاهد للأغنام,970597216121
مزرعة مجدي عبيد لتربية الاغنام,970598073728
مزرعة محمد ابو الرب للأغنام,970598043490
مزرعة محمد خيري,970569910105
مزرعة محمد خيري للخضار,970595033288
مزرعة محمد دقة لتربية الاغنام,970599841080
مزرعة محمد عامر للأغنام,970599525507
مزرعة محمد لتربية الاغنام,970595404715
مزرعة محمد لتربية الدواجن,970597697541
مزرعة محمد للدواجن اللاحمة,970599288430
مزرعة محمود كتانه للاغنام,970598612743
مزرعة مراد ابو خليل للخضار المحمي,970599663220
مزرعة مراد احمد كتانه للاغنام,970598043494
مزرعة مشعل للاغنام,970569839662
مزرعة مصطفى عسراوي للخضار,970598123807
مزرعة مصعب لأنتاج الخضار,970569838760
مزرعة معاذ لتربية الاغنام,970568762225
مزرعة معاذ للخضار المحمي,970595130678
مزرعة معتصم للخضار,970568255698
مزرعة منتصر لتربية الاغنام,970568980411
مزرعة منير بابيه للخضراوات,970568381231
مزرعة نبيل للاغنام,970598750870
مزرعة نضال قشوع للخضار المحمي,970568720414
مزرعة نضال للاغنام,970598847554
مزرعة نضال للبيوت البلاستيكية,970595838638
مزرعة نعمان حسين للاغنام,970598018610
مزرعة ودفيئات طارق,970599329611
مزرعة ياسر كتاني للدفيئات,970569210313
مزرعة يوسف جباره للخضار,970568669965
مستودع احمد للمواد التموينيه,970592840555
مستودع زكي القريب للملابس,970595757827
مستودع علاء للاقمشة,970599790938
مستودع مالك لتوزيع المواد الغذائية,970595257075
مسمكة كريم,970598123033
مشتل النور,970598849425
مشتل اياد الراميني,970595609050
مشحمة احمد عاليه لغسيل السيارات,970597474242
مشحمة ومغسلة ابراهيم,970569935775
مشروع باسل للزعتر,970569116192
مشغل العطار,970569865749
مشغل حلويات النصر,970597295788
مشغل ريام,970568517511
مشغل عطار للخياطه,970599784726
مشغل ماهر للخياطة,970599221568
مشغل محمد حسين للالمنيوم,970569927143
مشغل محمد للالمنيوم,970597933575
مشغل محمد مصلح,970569234518
مشغل نفين للخياطة,970599954553
مشغل نهيل للملابس,970598847050
مشغل هاشم للالمينيوم,970599203275
مصطفى طحليش للخضار والفواكه,970598166273
مطحنة الساعد,970599566618
مطعم Mr. Toast,970569398522
مطعم ابو سرية,970599239239
مطعم ابو سماحة,970568242721
مطعم ابو صياح,970598207441
مطعم البلد,970598505423
مطعم الحوت,970599820395
مطعم الصباح,970595793700
مطعم الطحليش,970569213754
مطعم الكراج,970568653361
مطعم اياد رجب,970599859354
مطعم بلال,970592772240
مطعم جرل,970593098686
مطعم صحتين وعافية,970599643620
معجنات أيمن,970595158650
معرض ابو طريف للاجهزة الكهربائية والتكييف,970599338551
معرض الجواد للاجهزة الكهربائية,970599322397
معرض باقة للادوات المنزلية,970598579035
معرض خريوش للمفروشات,970568313126
معرض عمار للصياغه والمجوهرات,970599315900
معرض نسيم للخضار والفواكه,970592390189
معرض ومنجرة السلطان,970599371740
مغسلة أبو شنب,970598123952
مغسلة ابو دقر,970597168896
مغسلة الأصدقاء,970599426280
مغسلة زيتا الشعراوية,97056957931
مغسلة نايف جرعاني للسيارات,970598612700
مغسلة ومشحمة سامر للسيارات,970599707542
مفروشات مهدي,970597623408
مقهى السعادة,970569786410
مقهى تامر الجلاد,970599783241
مكتب آزر للتشطيب والديكور,970569700239
مكتب القدومي لخدمات تعبئة وتغليف الطرود,970599849904
مكتب تعهدات ميلاد خصيب,970597554064
مكتب زياد خصيب للمقاولات,970505263060
مكتب كيندا للسفر,970599325235
مكتبة الاحسان,970598456582
مكتبة الاحمد,970599934035
مكتبة النورس,970598210160
مكتبة بازار البركة,970599837283
مكتبة مسايا للطباعة والكوزماتكس,970567010474
ملابس جوري فاشن,970568673511
ملحمة الجزار,970599139726
ملحمة الرضا,970598436940
ملحمة الشروق,970599045097
ملحمة القرعاوي,970598504398
ملحمة النزلة الغريبه,970598534598
ملحمة جهاد قعدان,970599360419
ملحمة دواجن الربيع,970598937157
ملحمة عبد الفتاح للحوم الحبش,970599935808
ملحمة عماش للدجاج,970599591054
ملحمة ومجمدات ايمن,970599272852
منجرة 2000,970599994520
منجرة ابو ريان,970599083502
منجرة الامانة,970568526558
منجرة السفاريني,970599646885
منجرة السلام,970599860760
منجرة الصعيدي,970599593258
منجرة جهاد حجي,970597469936
منجرة دفئ الدواجن,970599220356
منجرة فارس,970599226938
منجرة محمد عموص,970569117254
منحل عبد الفتاح لانتاج العسل,970598032170
ميراج للكهرباء والتكييف,970568121192
ميني ماركت ابو طارق,970568151990
ميني ماركت احمد,970599591051
ميني ماركت الأيهم,970569636947
ميني ماركت البلبل,970598770414
ميني ماركت البهاء,970599671102
ميني ماركت البهاء,970568414948
ميني ماركت الشعب,970507198930
ميني ماركت القاسم,970597977419
ميني ماركت المجد,970598516654
ميني ماركت ثابت,970592750955
ميني ماركت رياض حمدان,970599654121
ميني ماركت عمارنه,970598018449
ميني ماركت مصطفى,970522855667
ناصر لاعمال الالمنيوم,970599935770
نثريات وكوزمتكس عبد الله,970598309407
نرجس للحلول التكنولوجية,970599120220
نوفوتيه حسام,970505266569
نوفوتيه دقش,970599116474
نوفوتيه فادي,970599593396
نوفوتيه فراس,970595012202
نوفوتيه مجدي للملابس الجاهزة,970597523908
نوفوتيه يوسف للملابس الجاهزه,970597529092
وسيم لتجارة الفحم,970598520520
يوسف ابو زهري للخضار والفواكه,970599221620
شركة تل الرمان للمستلزمات الطبية,970595507902
محل فادي للألمنيوم,970592296939
محل فرج الله للخضار والفواكه,970502691997
محل قاسم للخضار والفواكه,970598078246
محل قاشان للاعمال الفنية,970595600691
محل كتانه للاعلاف,970599743790
محل كتانه للاعلاف,970598668149
محل كسرى للاجهزه الخلويه,970502961905
محل مامون الخطيب للخضار والفواكه,970568694869
محل محمد سليمان للمواد الغذائية,970599554265
محل محمد عدنان للمواد التموينية,970568732511
محل محمد واحمد للخضار والفواكه,970599132612
محل ملك الستائر,970595351521
محل موفق خضر لمواد البناء,970598027755
محل نصر للمواد التموينيه,970522531004
محل نهر للازياء,970599757470
محل ياسر ومفيد للمواد التموينيه,970599645521
محل ياسين للاخشاب ( الطوبار),970547267895
محل يوسف لدهان وتجليس السيارات,970569421321
محلات العموري لبيع قطع الشاحنات,970592118119
محلات جعاعره للمواد الغذائية والخضار والفواكه,970599432411
محلات كتانه للاعلاف,970522846066
محلات لافي للادوات المستعملة,970522491601
مخبز حيفا,970599554275
مخبز نور شمس الحديث,970599426192
مخرطة الشعراوية,970568344373
مركز عالم النظارات,970599478024
مزارع خالد الزامل للخضار,970569403015
مزرعة اشرف ضمايرة للبيوت البلاستيكية,970568100606
مزرعة البلحاوي للخضار,970569211471
مزرعة حسن زايط,970594985659
مزرعة راني للدواجن,970599326428
مزرعة علاء الدين شديد لانتاج الخضار,970599366250
مشغل الفهد للخياطه,970598881640
مشغل شومان لمستلزمات الاطفال,970598558187
مشغل محمد عمار,970597424015
مشغل مهنا,970598234400
مصنع سلطات الايهم,970599125983
مطعم الفردوس,97056806164
مطعم بروست الوجبة السريعة,970599871915
معرض دعباس للبلاستيك,970597330599
معرض عصام للشنط والاكسسوارات,9705699703080
مفروشات النعيم,970598049738
مكتبة اقرأ,970522220140
منجرة ابو دية,970599251152
منجرة النور,970569780046
منجرة عوده,970598545649
ميني ماركت الرائد,970592220812
ميني ماركت شادي,970599592600
ميني ماركت قشوع,970598342788
نوفوتيه هيثم,970599513120
ألبسة وبرادي كنعان,970599356609
ابو طلال لاعمال الحدادة والديكور,97056977770
الرياحي للالمنيوم,970599230208
الشرفا لتأجير الكراسي,970599039992
الصلاح للمواد التموينية والخضار والفواكه,970598506077
القب لبيع ماكنات الخياطة,970568668859
الكترونيات حمزة,970598847350
انترنت الفحماوي,970597402342
بدوية للادوات المستعملة,970599011107
بقالة أسد,970568234888
بقالة الاخوة,970597468857
بقالة الاسعد,970569852563
بقالة الاقصى,970599338417
بقالة الجندي,970597941895
بقالة الشوفاني,970599588377
بقالة الضميري,970592962782
بقالة اللبدي للمواد التموينيه,970595717564
بقالة النور,970522243885
بقالة الهناء,970567499879
بقالة جعاعره لبيع المواد الغذائية,970598656041
بقالة رشيد مصاروه,970599117206
بقالة علاء ابو ارشيد,970522341285
بقالة عماد للمواد الغذائيه,970568437434
بقالة فلسطين,970526978013
بقالة محمود كمال للمواد الغذائية,9705098164310
حسام للادوات الكهربائية المستعملة,970569549184
حلويات الكتانة,970598409223
حنحن للمواد المواد الغذائية والمجمدات,970599878854
دكان جلال جمعه,970526431958
ديكورات عبد الله جبارة,970592240557
سوبر ماركت الاحمد,970569185217
سوبرماركت ابو البراء,970598078140
سوبرماركت الادهم,970598162699
شركة الخليج للاستشارات والتدريب,970592928888
شركة بي بوكس للتحف والهدايا,970599550699
